Country,Year,Birth_Rate_per_1000,Energy_Use_kgOE_per_Capita,population_total,Literacy_Rate,FDI_Net_Inflows_USD,Political_Instability,gdp_usd,gdp_real_growth_pct,exports_pct_gdp,imports_pct_gdp,gross_capital_form_pct_gdp,household_consump_pct_gdp,govt_consump_pct_gdp,inflation_cpi_pct,unemployment_pct,net_exports_pct_gdp,gdp_usd_log,population_growth_pct,exports_pct_gdp_lag1,imports_pct_gdp_lag1,gross_capital_form_pct_gdp_lag1,household_consump_pct_gdp_lag1,govt_consump_pct_gdp_lag1,inflation_cpi_pct_lag1,unemployment_pct_lag1,gdp_real_growth_pct_lag1
Germany,1990,11.4,4421.75298411525,79433029,,2556702845.61154,,1778162195860.07,5.25500609657068,22.7404117768503,22.9485429079431,25.2643366002088,56.1406119307313,19.0305949844275,2.69646824292392,,-0.20813113109279868,28.206601472627945,,,,,,,,,
Germany,1991,10.4,4303.21110441046,80013896,,4741546058.51119,,1875792575132.59,5.10826150662902,23.5660117742412,24.0694014237156,26.2249546057137,55.8337155458938,18.6087672231263,4.04703259753466,5.316,-0.5033896494743999,28.26005239277298,0.7312663350657278,22.7404117768503,22.9485429079431,25.2643366002088,56.1406119307313,19.0305949844275,2.69646824292392,,5.25500609657068
Germany,1992,10.0,4191.07717344268,80624598,,-2137482962.91706,,2141377582968.07,2.01418423268822,22.089549620151,22.5944943826796,25.6374386656452,55.7637625812187,19.1331021293767,5.05697796731731,6.323,-0.5049447625285985,28.392470468215706,0.763244924356643,23.5660117742412,24.0694014237156,26.2249546057137,55.8337155458938,18.6087672231263,4.04703259753466,5.316,5.10826150662902
Germany,1993,9.8,4123.06429325007,81156363,,477658764.448412,,2078954217437.6,-0.973303672314501,19.8790217032561,19.8703722671765,24.1533795395313,56.4515688483731,19.2807880091502,4.47457650752808,7.675,0.008649436079601003,28.362886103127412,0.6595567769528632,22.089549620151,22.5944943826796,25.6374386656452,55.7637625812187,19.1331021293767,5.05697796731731,6.323,2.01418423268822
Germany,1994,9.5,4089.20711052609,81438348,,7517424677.09305,,2215282632276.73,2.59758495227749,20.6057061403032,20.4900381932732,24.5513106495033,55.9330148747021,19.2250356361737,2.69305639854954,8.727,0.11566794703000127,28.42640111050756,0.34745889240994643,19.8790217032561,19.8703722671765,24.1533795395313,56.4515688483731,19.2807880091502,4.47457650752808,7.675,-0.973303672314501
Germany,1995,9.4,4119.89234314538,81678051,,12040789985.3198,,2593053091306.13,1.50540577767291,21.4815282668309,21.1246203807509,24.4770596811461,55.6858936908202,19.3697662545462,1.70616041317077,8.158,0.35690788607999835,28.58385709713321,0.29433676626151595,20.6057061403032,20.4900381932732,24.5513106495033,55.9330148747021,19.2250356361737,2.69305639854954,8.727,2.59758495227749
Germany,1996,9.7,4247.28041587343,81914831,,15590587107.4243,1.28849947452545,2506576553158.31,1.03815582464068,22.2821690795205,21.6214170158045,23.460405691293,56.1010805989961,19.6391608246567,1.44972701963239,8.822,0.660752063716,28.549939015038078,0.28989428261454453,21.4815282668309,21.1246203807509,24.4770596811461,55.6858936908202,19.3697662545462,1.70616041317077,8.158,1.50540577767291
Germany,1997,9.9,4203.57228180046,82034771,,18638428446.4635,,2218790886532.82,1.8548172630131,24.7013999735662,23.6789210951718,23.4050264846125,56.019479661241,19.2955398082534,1.9393719892273,9.861,1.022478878394402,28.427983517733452,0.1464203716662782,22.2821690795205,21.6214170158045,23.460405691293,56.1010805989961,19.6391608246567,1.44972701963239,8.822,1.03815582464068
Germany,1998,9.6,4177.53862595182,82047195,,29525738645.9539,1.24214780330658,2247760364565.97,2.0961614012438,25.6601609051036,24.4953048741291,24.0608017564073,55.4354179131785,19.0236412815048,0.911183535014401,9.787,1.164856030974498,28.44095544288551,0.015144797563948487,24.7013999735662,23.6789210951718,23.4050264846125,56.019479661241,19.2955398082534,1.9393719892273,9.861,1.8548172630131
Germany,1999,9.4,4080.1161545149,82100243,,86035665071.2096,,2213873468586.88,2.13011669389533,26.0298761818567,25.4893512545493,23.7583524291849,55.7167684042287,19.0821474649054,0.585433064230788,8.854,0.5405249273073984,28.425764797988737,0.06465547054961274,25.6601609051036,24.4953048741291,24.0608017564073,55.4354179131785,19.0236412815048,0.911183535014401,9.787,2.0961614012438
