Country,Year,Birth_Rate_per_1000,Energy_Use_kgOE_per_Capita,population_total,Literacy_Rate,FDI_Net_Inflows_USD,Political_Instability,gdp_usd,gdp_real_growth_pct,exports_pct_gdp,imports_pct_gdp,gross_capital_form_pct_gdp,household_consump_pct_gdp,govt_consump_pct_gdp,inflation_cpi_pct,unemployment_pct,net_exports_pct_gdp,gdp_usd_log,population_growth_pct,exports_pct_gdp_lag1,imports_pct_gdp_lag1,gross_capital_form_pct_gdp_lag1,household_consump_pct_gdp_lag1,govt_consump_pct_gdp_lag1,inflation_cpi_pct_lag1,unemployment_pct_lag1,gdp_real_growth_pct_lag1
China,2000,14.03,898.07500446721,1262645000,90.9199981689453,42095300000.0,-0.20991687476635,1223754919971.05,8.58643201808462,20.681599363293,18.3293431142068,33.6326827140045,46.7513123268903,16.9834545142268,0.347811226864583,3.26,2.3522562490861993,27.832945051188403,0.7910691407201131,18.0006905864312,15.2248474895742,34.2336141056633,46.2320076078832,16.5121269789853,-1.40147268276465,3.25,7.7370030581299
China,2001,13.38,921.506436459842,1271850000,,47053000000.0,,1355036590251.52,8.31263887091522,20.0776873829946,18.0049595688389,35.523858010134,45.5685898287494,16.56557352932,0.719125609120118,3.8,2.0727278141557015,27.934849573771274,0.7290251812663184,20.681599363293,18.3293431142068,33.6326827140045,46.7513123268903,16.9834545142268,0.347811226864583,3.26,8.58643201808462
China,2002,12.86,976.159336791292,1280400000,,53073618897.4036,-0.327627182006836,1489821682050.54,9.24339326638321,22.3518233715808,19.8426189671605,36.0687816828708,44.9841418387033,16.2233328656845,-0.731970902350249,4.24,2.5092044044202986,28.029677552247968,0.6722490859771169,20.0776873829946,18.0049595688389,35.523858010134,45.5685898287494,16.56557352932,0.719125609120118,3.8,8.31263887091522
China,2003,12.41,1105.13742396493,1288400000,,57900937467.3864,-0.56535792350769,1683903309843.85,10.1181928640117,26.6023738514511,24.4751062787292,39.4280130265115,42.8053205220649,15.4631349581316,1.12760348729637,4.58,2.1272675727219017,28.15213561314293,0.6248047485160946,22.3518233715808,19.8426189671605,36.0687816828708,44.9841418387033,16.2233328656845,-0.731970902350249,4.24,9.24339326638321
China,2004,12.29,1249.04415339994,1296075000,,68117272181.2194,-0.39068067073822,1984196551300.44,10.1314073631003,30.6097162464404,28.0306177944035,41.6343741627493,40.7469493630806,14.7768955354751,3.8246374310816,4.49,2.5790984520368987,28.316235188080086,0.5957000931387846,26.6023738514511,24.4751062787292,39.4280130265115,42.8053205220649,15.4631349581316,1.12760348729637,4.58,10.1181928640117
China,2005,12.4,1369.79197119649,1303720000,,104108693867.085,-0.501756608486176,2317551298052.05,11.458238455067,33.3687977498922,27.9912771909315,40.178086700104,39.8129615733976,14.9800297513263,1.7764140766757,4.52,5.377520558960704,28.471532269223236,0.5898578400169718,30.6097162464404,28.0306177944035,41.6343741627493,40.7469493630806,14.7768955354751,3.8246374310816,4.49,10.1314073631003
China,2006,12.09,1490.18647938836,1311020000,,124082035618.505,-0.540030121803284,2791498472804.33,12.6746751655235,35.5268468681701,28.0427329939926,39.6897003482818,38.0007673700593,15.0329501874396,1.6494309945586,4.43,7.4841138741774955,28.65759965460885,0.5599361826158944,33.3687977498922,27.9912771909315,40.178086700104,39.8129615733976,14.9800297513263,1.7764140766757,4.52,11.458238455067
China,2007,12.1,1595.46606847798,1317885000,,156249335203.201,-0.500553727149963,3604055822571.63,14.1499854947127,34.9066956194649,26.3597683811527,40.2220879226288,36.6182835563683,14.8435861590045,4.81676767378834,4.35,8.546927238312197,28.913080944614517,0.5236380833244292,35.5268468681701,28.0427329939926,39.6897003482818,38.0007673700593,15.0329501874396,1.6494309945586,4.43,12.6746751655235
China,2008,12.14,1629.97754209383,1324655000,,171534650311.568,-0.49308842420578,4667346414521.95,9.67024588602851,32.092513602143,24.6186193981779,41.9607249432501,35.5421749900869,14.7289171300496,5.92525137041092,4.59,7.473894203965102,29.171611806522975,0.5137018783884839,34.9066956194649,26.3597683811527,40.2220879226288,36.6182835563683,14.8435861590045,4.81676767378834,4.35,14.1499854947127
China,2009,11.95,1728.61645229501,1331260000,,131057052869.5,-0.451781332492828,5189577094997.58,9.40269972778044,24.3307718125403,20.0889926205716,44.9282638913962,35.578875871033,14.9931908239159,-0.728165250932903,4.72,4.2417791919687,29.277673325200087,0.49862039549921633,32.092513602143,24.6186193981779,41.9607249432501,35.5421749900869,14.7289171300496,5.92525137041092,4.59,9.67024588602851
China,2010,11.9,1899.79996108685,1337705000,95.120002746582,243703434558.177,-0.65706068277359,6192564874453.29,10.5962719761682,26.7227451502264,23.1313270837192,46.1023443345586,34.6030669287517,14.837784222569,3.17532475269199,4.53,3.5914180665072024,29.454370474549485,0.48412781875817323,24.3307718125403,20.0889926205716,44.9282638913962,35.578875871033,14.9931908239159,-0.728165250932903,4.72,9.40269972778044
China,2011,13.27,2027.46525356855,1345035000,,280072219149.934,-0.602054834365845,7671757207851.29,9.4613358870736,26.1518828948067,23.7939443305376,46.2703012824496,35.249530166574,15.511543498627,5.55389892257491,4.55,2.3579385642691015,29.66856680648276,0.5479533977969631,26.7227451502264,23.1313270837192,46.1023443345586,34.6030669287517,14.837784222569,3.17532475269199,4.53,10.5962719761682
China,2012,14.57,2085.21872095825,1354190000,,241213868161.42,-0.538782060146332,8673664713189.24,7.85617427055587,25.0767043295175,22.4035087488925,45.8169211701107,35.7107241394048,15.9047696976095,2.61952432645539,4.58,2.673195580625002,29.791312506362353,0.6806514328623336,26.1518828948067,23.7939443305376,46.2703012824496,35.249530166574,15.511543498627,5.55389892257491,4.55,9.4613358870736
China,2013,13.03,2137.32572690907,1363240000,,290928431467.003,-0.543789923191071,9743124247267.24,7.77872409446717,24.163343090563,21.7526982889514,45.9224093546636,36.1289393837992,15.9462837052091,2.62105001748119,4.6,2.4106448016115998,29.907582946755518,0.6682961770504869,25.0767043295175,22.4035087488925,45.8169211701107,35.7107241394048,15.9047696976095,2.61952432645539,4.58,7.85617427055587
China,2014,13.83,2177.55011435267,1371860000,,268097181064.335,-0.522584021091461,10674533168257.4,7.46190028229434,23.0719766946892,20.9964797865509,45.3115352657107,36.9862190673163,15.8783188765672,1.92164162788522,4.63,2.0754969081383017,29.99888194277621,0.6323171268448613,24.163343090563,21.7526982889514,45.9224093546636,36.1289393837992,15.9462837052091,2.62105001748119,4.6,7.77872409446717
China,2015,11.99,2175.1544486832,1379860000,,242489331627.398,-0.552559673786163,11280814787468.9,6.97878002657477,20.939064223381,17.7581206128424,42.7349872564364,38.0605584392569,16.2578121496943,1.43702380935656,4.65,3.1809436105385984,30.05412459232143,0.5831498840989546,23.0719766946892,20.9964797865509,45.3115352657107,36.9862190673163,15.8783188765672,1.92164162788522,4.63,7.46190028229434
China,2016,13.57,2149.2047500244,1387790000,,174749584584.05,-0.502221345901489,11456024084962.0,6.77555562837017,19.2036507364961,16.9735199564108,42.1386166189127,39.1623543569108,16.4004661104345,2.00000182191942,4.56,2.2301307800853003,30.06953682853307,0.5746959836505194,20.939064223381,17.7581206128424,42.7349872564364,38.0605584392569,16.2578121496943,1.43702380935656,4.65,6.97878002657477
China,2017,12.64,2215.91139022057,1396215000,,166083755721.648,-0.232558101415634,12537559062282.9,6.8912663621211,19.3356301658109,17.6152224501166,42.5497375507577,38.9547629530877,16.501760892272,1.59313600071433,4.47,1.7204077156943,30.159749980055587,0.607080321950737,19.2036507364961,16.9735199564108,42.1386166189127,39.1623543569108,16.4004661104345,2.00000182191942,4.56,6.77555562837017
China,2018,10.86,2310.87757050979,1402760000,,235365050036.341,-0.298572480678558,14147765772963.8,6.75671800166833,18.7705198029033,18.1238645885115,43.313827489682,38.9434900328533,16.8365384091475,2.07479039965575,4.31,0.646655214391803,30.280577831647307,0.46876734600329595,19.3356301658109,17.6152224501166,42.5497375507577,38.9547629530877,16.501760892272,1.59313600071433,4.47,6.8912663621211
China,2019,10.41,2397.96868908473,1407745000,,187169822364.755,-0.259780675172806,14560167101283.4,6.06850235053705,18.055706959796,17.1437133141061,42.6695374085222,39.3519993191979,17.1510123948127,2.89923416358229,4.56,0.9119936456899005,30.309310635367726,0.35537084034331645,18.7705198029033,18.1238645885115,43.313827489682,38.9434900328533,16.8365384091475,2.07479039965575,4.31,6.75671800166833
China,2020,8.52,2465.96954605987,1411100000,96.7399978637695,253095616058.58,-0.474127858877182,14996414166715.1,2.34018843078414,18.2035821684675,15.8353686179343,42.5723735094229,38.1684961438545,17.6037978191606,2.41942189457778,5.0,2.3682135505331985,30.3388322329001,0.23832441244686642,18.055706959796,17.1437133141061,42.6695374085222,39.3519993191979,17.1510123948127,2.89923416358229,4.56,6.06850235053705
China,2021,7.52,2623.79959356116,1412360000,,344074977062.48,-0.516462862491608,18201698719564.0,8.57008513166322,19.5262422245007,16.9944489517557,42.6822612949312,38.3739712034949,16.3512045683208,0.981015135544894,4.55,2.5317932727449985,30.532536041895522,0.08929204166960858,18.2035821684675,15.8353686179343,42.5723735094229,38.1684961438545,17.6037978191606,2.41942189457778,5.0,2.34018843078414
China,2022,6.77,2676.48200976111,1412175000,,190203789092.51,-0.45127671957016,18316765021690.2,3.1341888719577,20.297731691419,17.1429881849395,42.3554333470499,37.7771550661597,16.6626986358672,1.97357555739052,4.98,3.154743506479498,30.538837877796663,-0.013098643405362598,19.5262422245007,16.9944489517557,42.6822612949312,38.3739712034949,16.3512045683208,0.981015135544894,4.55,8.57008513166322
China,2023,6.39,2850.94152906511,1410710000,,51338076801.59,-0.513097047805786,18270356654533.2,5.41484330099675,19.1024717160831,17.0027206529743,41.1297102455381,39.568245214664,17.1891419707315,0.23483682889306,4.67,2.099751063108801,30.536301007448845,-0.10374068369712885,20.297731691419,17.1429881849395,42.3554333470499,37.7771550661597,16.6626986358672,1.97357555739052,4.98,3.1341888719577
China,2024,,,1408975000,,18556141172.84,,18743803170827.2,4.9773565917572,20.02291663623,17.1755035026323,,,,0.218128938439166,4.571,2.8474131335977013,30.561884316162732,-0.12298771540572018,19.1024717160831,17.0027206529743,41.1297102455381,39.568245214664,17.1891419707315,0.23483682889306,4.67,5.41484330099675
